Starting Training
Length of vocab built is  20999
Training Loss at epoch 35: 0.0007149404538579448
Val Loss at epoch 35: 0.39525778828061947
Training Loss at epoch 36: 0.0006349232656120771
Val Loss at epoch 36: 0.40475564955595356
Training Loss at epoch 37: 0.0005652374322604084
Val Loss at epoch 37: 0.398494298693898
Training Loss at epoch 38: 0.0004965390532293035
Val Loss at epoch 38: 0.41379712351042547
Training Loss at epoch 39: 0.0005099251650174171
Val Loss at epoch 39: 0.4080999962139924
Training Loss at epoch 40: 0.0005434554978992327
Val Loss at epoch 40: 0.43191574868235066
Training Loss at epoch 41: 0.00043444838559964107
Val Loss at epoch 41: 0.42915260715327547
Training Loss at epoch 42: 0.002565310002017048
Val Loss at epoch 42: 0.4919563591132125
Training Loss at epoch 43: 0.0026236198288159657
Val Loss at epoch 43: 0.401217744311358
Training Loss at epoch 44: 0.0007118396226985297
Val Loss at epoch 44: 0.4070868576275588
Training Loss at epoch 45: 0.00044515640820522076
Val Loss at epoch 45: 0.4038446035900766
Training Loss at epoch 46: 0.0003392759482405046
Val Loss at epoch 46: 0.40002092742658674
Training Loss at epoch 47: 0.0004190771045866342
Val Loss at epoch 47: 0.40355174900685326
Training Loss at epoch 48: 0.00032488156732581416
Val Loss at epoch 48: 0.4086135780194141
Training Loss at epoch 49: 0.0002940554686964481
Val Loss at epoch 49: 0.4013388115031564
Training Loss at epoch 50: 0.00023924580106594116
Val Loss at epoch 50: 0.3911852547560429
Training Loss at epoch 51: 0.00040928226770472716
Val Loss at epoch 51: 0.40607747418167905
Training Loss at epoch 52: 0.00022641276271336238
Val Loss at epoch 52: 0.40129634479799803
Training Loss at epoch 53: 0.0001928126454261282
Val Loss at epoch 53: 0.4077629973280084
Training Loss at epoch 54: 0.00027217499508263914
Val Loss at epoch 54: 0.4071647237360361
Training Loss at epoch 55: 0.00021481193750017948
Val Loss at epoch 55: 0.41846731537571785
Training Loss at epoch 56: 0.0002749322845335131
Val Loss at epoch 56: 0.4040474931181508
Training Loss at epoch 57: 0.0006025763444005013
Val Loss at epoch 57: 0.43706014689122036
Training Loss at epoch 58: 0.0039263116151737176
Val Loss at epoch 58: 0.4507790659323704
Training Loss at epoch 59: 0.000941657232726935
Val Loss at epoch 59: 0.40009698041152364
Training Loss at epoch 60: 0.0003738203977937304
Val Loss at epoch 60: 0.4014717558653246
Training Loss at epoch 61: 0.00021901873812682715
Val Loss at epoch 61: 0.407745769200642
Training Loss at epoch 62: 0.00039161821593266594
Val Loss at epoch 62: 0.40552499165428213
Training Loss at epoch 63: 0.00016648928594170342
Val Loss at epoch 63: 0.3985372850894664
Training Loss at epoch 64: 0.00014798179380872407
Val Loss at epoch 64: 0.3985277025033526
Training Loss at epoch 65: 0.00012750090221407698
Val Loss at epoch 65: 0.3982096895270166
Training Loss at epoch 66: 0.00013297181571119554
Val Loss at epoch 66: 0.4042178029122877
Training Loss at epoch 67: 0.00011179527136415846
Val Loss at epoch 67: 0.40135266491910815
Training Loss at epoch 68: 0.00011829142137262814
Val Loss at epoch 68: 0.40638280729846893
Training Loss at epoch 69: 0.00015225106279281842
Val Loss at epoch 69: 0.39228364061584664
Training Loss at epoch 70: 0.0021572724495299805
Val Loss at epoch 70: 0.4365517486364933
Training Loss at epoch 71: 0.00118112948438444
Val Loss at epoch 71: 0.43125237996251836
Training Loss at epoch 72: 0.0003499688291357615
Val Loss at epoch 72: 0.4057386938512092
Training Loss at epoch 73: 0.00021417771716356748
Val Loss at epoch 73: 0.40050705878323273
Training Loss at epoch 74: 0.00011756256733961895
Val Loss at epoch 74: 0.4032520591580761
Training Loss at epoch 75: 9.9466698526563e-05
Val Loss at epoch 75: 0.4021415614503281
Training Loss at epoch 76: 9.406919518655249e-05
Val Loss at epoch 76: 0.4028828008293424
Training Loss at epoch 77: 9.214296240909999e-05
Val Loss at epoch 77: 0.40383514166672374
Training Loss at epoch 78: 8.442308588205777e-05
Val Loss at epoch 78: 0.4059112863012622
Training Loss at epoch 79: 8.459153892962362e-05
Val Loss at epoch 79: 0.4058564778248305
Training Loss at epoch 80: 7.938987031003242e-05
Val Loss at epoch 80: 0.4031398052569314
Training Loss at epoch 81: 7.916327467806656e-05
Val Loss at epoch 81: 0.40120518021945717
Training Loss at epoch 82: 7.633525695480607e-05
Val Loss at epoch 82: 0.40189551750845914
Training Loss at epoch 83: 7.509389342980255e-05
Val Loss at epoch 83: 0.4054283592562186
Training Loss at epoch 84: 7.23965278607812e-05
Val Loss at epoch 84: 0.4033771148710229
Training Loss at epoch 85: 6.998294328604564e-05
Val Loss at epoch 85: 0.40371115193447504
Training Loss at epoch 86: 7.022836028962393e-05
Val Loss at epoch 86: 0.407324525835013
Training Loss at epoch 87: 6.972064929996808e-05
Val Loss at epoch 87: 0.4071582577496465
Training Loss at epoch 88: 6.736917629326835e-05
Val Loss at epoch 88: 0.40624161087133764
Training Loss at epoch 89: 6.869728890605652e-05
Val Loss at epoch 89: 0.4048119123929845
Training Loss at epoch 90: 6.693894908047075e-05
Val Loss at epoch 90: 0.40544577856422975
Training Loss at epoch 91: 6.565348727180116e-05
Val Loss at epoch 91: 0.40788011382668765
Training Loss at epoch 92: 6.481176949679402e-05
Val Loss at epoch 92: 0.40812259907848647
Training Loss at epoch 93: 6.250039508685919e-05
Val Loss at epoch 93: 0.40933914187547643
Training Loss at epoch 94: 6.33597248339174e-05
Val Loss at epoch 94: 0.4156381430348178
Training Loss at epoch 95: 5.853818300001807e-05
Val Loss at epoch 95: 0.4189017829705841
Training Loss at epoch 96: 6.420085021005243e-05
Val Loss at epoch 96: 0.41793832954967924
Training Loss at epoch 97: 6.111071573096621e-05
Val Loss at epoch 97: 0.4178411324625229
Training Loss at epoch 98: 5.822289161468999e-05
Val Loss at epoch 98: 0.4183318135301626
Training Loss at epoch 99: 6.778310480948718e-05
Val Loss at epoch 99: 0.42452277738974115
Starting Evaluation
Evaluating Submission
### Evaluation Results ###
Row score: 0.742600000
Column score: 0.899800000
Cell score: 0.667000000
Aggregate score: 0.769800000
